Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price
HP,NOTEBOOK,15.6,1366x768,2.7,8.0,1024.0,Intel HD Graphics 620,WINDOWS 10,2.05,31861.44
HP,NOTEBOOK,14.0,1920x1080,1.8,8.0,256.0,Intel UHD Graphics 620,WINDOWS 10,1.63,52640.64
LENOVO,NOTEBOOK,15.6,1366x768,1.1,4.0,1024.0,Intel HD Graphics 500,NO OS,1.9,13445.74
ASUS,GAMING,17.3,1920x1080,2.5,8.0,1152.0,Nvidia GeForce GTX 1050,WINDOWS 10,3.0,49976.64
LENOVO,NOTEBOOK,15.6,1920x1080,2.5,4.0,1024.0,Nvidia GeForce 920MX,NO OS,2.2,26586.72
HP,NOTEBOOK,13.3,1920x1080,2.5,4.0,256.0,Intel HD Graphics 620,WINDOWS 10,1.32,37242.72
ACER,NOTEBOOK,17.3,1920x1080,2.7,4.0,1024.0,Nvidia GeForce MX130,WINDOWS 10,3.0,34898.4
LENOVO,NOTEBOOK,14.0,1920x1080,1.6,8.0,256.0,AMD Radeon RX 550,WINDOWS 10,1.75,59461.55
LENOVO,GAMING,15.6,1920x1080,2.8,8.0,256.0,Nvidia GeForce GTX 1050M,NO OS,2.4,46300.32
TOSHIBA,NOTEBOOK,15.6,1366x768,2.3,4.0,500.0,Intel HD Graphics 520,WINDOWS 10,2.1,32074.56
HP,NOTEBOOK,15.6,1366x768,2.5,4.0,256.0,AMD Radeon R4 Graphics,WINDOWS 10,1.86,19660.32
ASUS,ULTRABOOK,14.0,1920x1080,1.8,8.0,256.0,Intel UHD Graphics 620,WINDOWS 10,1.25,58554.72
HP,ULTRABOOK,12.5,3840x2160,1.2,8.0,512.0,Intel HD Graphics 515,WINDOWS 10,0.97,107305.92
ASUS,NOTEBOOK,15.6,1920x1080,1.1,4.0,1024.0,Intel HD Graphics 500,WINDOWS 10,2.0,18328.32
MSI,GAMING,17.3,1920x1080,2.8,16.0,1280.0,Nvidia GeForce GTX 1070,WINDOWS 10,2.9,108105.12
