Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price
ACER,NOTEBOOK,-0.713439498130007,1366x768,-0.5902881471095258,-0.07519506268436271,0.8422592200696303,Intel HD Graphics 520,WINDOWS 10,0.09209943068976037,-1.051444301873186
ASUS,GAMING,0.4087716575222072,1920x1080,0.9902830436096349,-0.07519506268436271,0.8422592200696303,Nvidia GeForce GTX 1050,WINDOWS 10,0.24242582200725737,-0.250002578088163
LENOVO,NOTEBOOK,0.4087716575222072,1920x1080,0.3975688470899499,-0.07519506268436271,2.9775974646823626,Intel HD Graphics 620,NO OS,0.24242582200725737,-0.8653953302802343
DELL,NOTEBOOK,0.4087716575222072,1920x1080,-0.9854309447893159,-0.07519506268436271,1.1091765006462218,Intel UHD Graphics 620,WINDOWS 10,-0.02816168236423723,-0.3845302960092204
ACER,NOTEBOOK,0.4087716575222072,1920x1080,0.7927116447697404,-0.8621763211399812,0.8422592200696303,Nvidia GeForce MX130,WINDOWS 10,0.24242582200725737,-0.8496527249915998
HP,NOTEBOOK,1.6011210104026858,1920x1080,-1.380573742469106,-0.07519506268436271,1.1091765006462218,Nvidia GeForce 930MX,WINDOWS 10,0.6934049959597477,-0.20993049189891194
DELL,ULTRABOOK,0.4087716575222072,1920x1080,-1.380573742469106,-0.07519506268436271,-0.7592444633899191,Intel UHD Graphics 620,WINDOWS 10,-0.23861863020873306,-0.03939527117700783
APPLE,ULTRABOOK,-2.116203442695275,2304x1440,-1.9732879389887916,-0.07519506268436271,-0.22540990223673604,Intel HD Graphics 615,MACOS,-1.681751986856703,0.5528702916321905
HP,NOTEBOOK,-0.713439498130007,1920x1080,-1.380573742469106,-0.07519506268436271,-0.7592444633899191,Intel HD Graphics 620,WINDOWS 10,-0.6144346085024752,-0.3773745663325684
LENOVO,NOTEBOOK,0.4087716575222072,1920x1080,0.3975688470899499,-0.8621763211399812,-1.0261617439665107,AMD R4 Graphics,WINDOWS 10,0.24242582200725737,-1.037132842519882
ACER,NOTEBOOK,0.4087716575222072,1366x768,1.3854258412894256,-0.8621763211399812,0.8422592200696303,AMD Radeon R5,WINDOWS 10,0.09209943068976037,-1.0428574262612036
DELL,GAMING,0.4087716575222072,1920x1080,0.9902830436096349,1.4987674542268743,1.1091765006462218,Nvidia GeForce GTX 1050 Ti,WINDOWS 10,0.9188945829359929,0.3224557960439963
HP,ULTRABOOK,0.4087716575222072,1920x1080,-0.9854309447893159,-0.07519506268436271,-0.7592444633899191,Nvidia GeForce GTX 940MX,WINDOWS 10,-0.3137818258674812,-0.6077890619207625
HP,NOTEBOOK,0.4087716575222072,1920x1080,0.3975688470899499,-0.07519506268436271,-0.7592444633899191,Intel HD Graphics 620,WINDOWS 10,-0.11835751715473544,-0.7509178917027838
ASUS,GAMING,0.4087716575222072,1920x1080,0.9902830436096349,1.4987674542268743,1.1091765006462218,Nvidia GeForce GTX 1060,WINDOWS 10,0.24242582200725737,0.4655703895770361
DELL,ULTRABOOK,-1.2044068787278503,1920x1080,-0.9854309447893159,-0.07519506268436271,-0.7592444633899191,Intel UHD Graphics 620,WINDOWS 10,-1.245805452035962,0.7517995766431158
ASUS,GAMING,0.4087716575222072,1920x1080,1.3854258412894256,-0.07519506268436271,0.8422592200696303,AMD Radeon RX 560,WINDOWS 10,0.6182418003009996,-0.6077890619207625
ACER,NOTEBOOK,0.4087716575222072,1920x1080,-0.9854309447893159,-0.07519506268436271,0.8422592200696303,Nvidia GeForce MX150,WINDOWS 10,0.24242582200725737,-0.6221005212740666
HP,NOTEBOOK,-1.2044068787278503,1920x1080,-0.9854309447893159,1.4987674542268743,-0.22540990223673604,Intel UHD Graphics 620,WINDOWS 10,-0.8248915563469708,0.10492161387377583
